1,2,1.02
2,2,0.515
3,2,0.347
4,2,0.263
5,2,0.212
6,2,0.179
7,2,0.155
8,2,0.137
9,2,0.123
10,2,0.111
11,2,0.102
12,2,0.095
13,2,0.088
14,2,0.038
15,2,0.078
16,2,0.074
17,2,0.07
18,2,0.067
19,2,0.064
20,2,0.061
1,3,1.03
2,3,0.523
3,3,0.354
4,3,0.269
5,3,0.218
6,3,0.185
7,3,0.161
8,3,0.142
9,3,0.128
10,3,0.117
11,3,0.108
12,3,0.1
13,3,0.094
14,3,0.089
15,3,0.084
16,3,0.08
17,3,0.076
18,3,0.073
19,3,0.07
20,3,0.067
1,4,1.04
2,4,0.53
3,4,0.36
4,4,0.275
5,4,0.225
6,4,0.191
7,4,0.167
8,4,0.149
9,4,0.134
10,4,0.123
11,4,0.114
12,4,0.107
13,4,0.1
14,4,0.095
15,4,0.09
16,4,0.086
17,4,0.082
18,4,0.079
19,4,0.076
20,4,0.074
1,5,1.05
2,5,0.538
3,5,0.367
4,5,0.282
5,5,0.231
6,5,0.197
7,5,0.173
8,5,0.155
9,5,0.141
10,5,0.13
11,5,0.12
12,5,0.113
13,5,0.106
14,5,0.101
15,5,0.096
16,5,0.092
17,5,0.089
18,5,0.086
19,5,0.083
20,5,0.08
1,6,1.06
2,6,0.545
3,6,0.374
4,6,0.289
5,6,0.237
6,6,0.203
7,6,0.179
8,6,0.161
9,6,0.147
10,6,0.136
11,6,0.12
12,6,0.119
13,6,0.113
14,6,0.108
15,6,0.103
16,6,0.099
17,6,0.095
18,6,0.092
19,6,0.09
20,6,0.087
1,7,1.07
2,7,0.553
3,7,0.381
4,7,0.295
5,7,0.244
6,7,0.21
7,7,0.186
8,7,0.167
9,7,0.153
10,7,0.142
11,7,0.133
12,7,0.126
13,7,0.12
14,7,0.114
15,7,0.11
16,7,0.106
17,7,0.102
18,7,0.099
19,7,0.097
20,7,0.094
1,8,1.08
2,8,0.561
3,8,0.388
4,8,0.302
5,8,0.25
6,8,0.216
7,8,0.192
8,8,0.174
9,8,0.16
10,8,0.149
11,8,0.14
12,8,0.133
13,8,0.127
14,8,0.121
15,8,0.117
16,8,0.113
17,8,0.11
18,8,0.107
19,8,0.104
20,8,0.102
1,9,1.09
2,9,0.568
3,9,0.395
4,9,0.309
5,9,0.257
6,9,0.223
7,9,0.199
8,9,0.181
9,9,0.167
10,9,0.156
11,9,0.147
12,9,0.14
13,9,0.134
14,9,0.128
15,9,0.124
16,9,0.12
17,9,0.117
18,9,0.114
19,9,0.112
20,9,0.11
1,10,1.1
2,10,0.576
3,10,0.402
4,10,0.315
5,10,0.264
6,10,0.23
7,10,0.205
8,10,0.187
9,10,0.174
10,10,0.163
11,10,0.154
12,10,0.147
13,10,0.141
14,10,0.136
15,10,0.131
16,10,0.128
17,10,0.125
18,10,0.122
19,10,0.12
20,10,0.117
1,11,1.11
2,11,0.584
3,11,0.409
4,11,0.322
5,11,0.271
6,11,0.236
7,11,0.212
8,11,0.194
9,11,0.181
10,11,0.17
11,11,0.161
12,11,0.154
13,11,0.148
14,11,0.143
15,11,0.139
16,11,0.136
17,11,0.132
18,11,0.13
19,11,0.128
20,11,0.126
1,12,1.12
2,12,0.592
3,12,0.416
4,12,0.329
5,12,0.277
6,12,0.243
7,12,0.219
8,12,0.201
9,12,0.188
10,12,0.177
11,12,0.168
12,12,0.161
13,12,0.156
14,12,0.151
15,12,0.147
16,12,0.143
17,12,0.14
18,12,0.138
19,12,0.136
20,12,0.134
1,13,1.13
2,13,0.599
3,13,0.424
4,13,0.336
5,13,0.284
6,13,0.25
7,13,0.226
8,13,0.208
9,13,0.195
10,13,0.184
11,13,0.176
12,13,0.169
13,13,0.163
14,13,0.159
15,13,0.155
16,13,0.151
17,13,0.149
18,13,0.146
19,13,0.144
20,13,0.142
1,14,1.14
2,14,0.607
3,14,0.431
4,14,0.343
5,14,0.291
6,14,0.257
7,14,0.233
8,14,0.216
9,14,0.202
10,14,0.192
11,14,0.183
12,14,0.177
13,14,0.171
14,14,0.167
15,14,0.163
16,14,0.16
17,14,0.157
18,14,0.155
19,14,0.153
20,14,0.151
1,15,1.15
2,15,0.615
3,15,0.438
4,15,0.35
5,15,0.298
6,15,0.264
7,15,0.24
8,15,0.223
9,15,0.21
10,15,0.199
11,15,0.191
12,15,0.184
13,15,0.179
14,15,0.175
15,15,0.171
16,15,0.168
17,15,0.165
18,15,0.163
19,15,0.161
20,15,0.16
